,3a62531.cel,3a636a1.cel,3a6a4b1.cel,3a6b021.cel
200831_s_at,1261.23711380576,330.264330121138,391.381258837328,381.777485908405
200832_s_at,1612.49662793589,187.707455839605,358.637415849828,248.611215215611
200833_s_at,724.917090970891,150.409669841962,161.867592840239,32.8802155545212
200834_s_at,6588.74012484097,3304.74074004488,811.759350328179,375.32799526476
200835_s_at,153.242493662625,33.8963583922407,94.1982299680862,105.018649607526
200836_s_at,343.546973246748,154.214754444484,167.268511634714,69.2460775845319
200837_at,584.925068350831,1065.87427782042,186.749403523066,105.294445940073
200838_at,78.6472338112451,540.922994070933,218.396024815283,127.223765333486
200839_s_at,50.1489906134944,700.650827365345,423.763280115833,257.004054265934
200840_at,2211.91986782803,474.860103170812,347.951220129505,65.6982995938243
200841_s_at,209.176510648842,35.5358498483615,43.5374527157868,34.9254773891287
200842_s_at,762.434165443092,96.5190839460237,127.372240590627,91.0319518878189
200843_s_at,1090.53297683883,119.698648223911,229.298751617411,134.302812523446
200844_s_at,812.305197713854,944.702026210642,186.032297198044,161.322969242997
200845_s_at,276.620332729022,487.772086415823,94.107813335811,56.7570693110177
200846_s_at,1079.55274921753,401.9797800449,134.50164771442,82.0010252711609
200847_s_at,379.923644469484,456.056981690448,578.158359279982,281.329439420149
200848_at,382.259316210589,118.036725565056,161.92839425489,108.709526593387
200849_s_at,501.248680226241,289.366708961313,427.077555278994,355.534678912189
200850_s_at,724.358814205099,239.801567752374,340.139042225049,302.444901959241
200851_s_at,867.675123326072,304.303145015368,311.723777468367,99.9332998135475
200852_x_at,618.328987557554,624.807564867282,332.495862112598,156.16021328079
200853_at,3228.48958647839,543.950993579728,230.051704039972,67.7938474870538
200854_at,350.12518123757,131.967880763727,150.273197607221,44.6061207623105
200855_at,81.8233073487502,26.5187661865931,55.1627024216389,45.2852863752074
200856_x_at,84.3801501702144,35.7300228983473,81.5305798091523,53.5757681912212
200857_s_at,223.191909763292,75.3275430728084,146.263339031955,47.0730417709696
