strain,time,rep,nt,ht,nt-dil,ht-dil
Spo_0A,4200,C,293,0,4,2
Spo_0A,4200,D,302,0,4,2
Spo_0A,4248,A,70,0,5,2
Spo_0A,4248,B,53,0,5,2
Spo_0A,4248,C,65,0,5,2
Spo_0A,4248,D,82,0,5,2
Spo_0A,4296,A,51,0,5,2
Spo_0A,4296,B,47,0,5,2
Spo_0A,4296,C,59,0,5,2
Spo_0A,4296,D,53,0,5,2
Spo_0A,4344,A,25,0,5,2
Spo_0A,4344,B,28,0,5,2
Spo_0A,4344,C,20,0,5,2
Spo_0A,4344,D,33,0,5,2
Spo_0A,4392,A,35,0,5,2
Spo_0A,4392,B,25,0,5,2
Spo_0A,4392,C,27,0,5,2
Spo_0A,4392,D,43,0,5,2
Spo_0A,4440,A,48,0,5,2
Spo_0A,4440,B,35,0,5,2
Spo_0A,4440,C,48,0,5,2
Spo_0A,4440,D,66,0,5,2
Spo_0A,4488,A,54,0,5,2
Spo_0A,4488,B,51,0,5,2
Spo_0A,4488,C,50,0,5,2
Spo_0A,4488,D,44,0,5,2
Spo_0A,4536,A,51,0,5,2
Spo_0A,4536,B,36,0,5,2
Spo_0A,4536,C,37,0,5,2
Spo_0A,4536,D,64,0,5,2
Spo_0A,4584,A,44,0,5,2
Spo_0A,4584,B,61,0,5,2
Spo_0A,4584,C,57,0,5,2
Spo_0A,4584,D,61,0,5,2
Spo_0A,4632,A,46,0,5,2
Spo_0A,4632,B,37,0,5,2
Spo_0A,4632,C,47,0,5,2
Spo_0A,4632,D,63,0,5,2
Spo_0A,4680,A,38,0,5,2
Spo_0A,4680,B,44,0,5,2
Spo_0A,4680,C,33,0,5,2
Spo_0A,4680,D,41,0,5,2
Spo_0A,4728,A,42,0,5,2
Spo_0A,4728,B,57,0,5,2
Spo_0A,4728,C,61,0,5,2
Spo_0A,4728,D,40,0,5,2
Spo_0A,4776,A,25,0,5,2
Spo_0A,4776,B,43,0,5,2
Spo_0A,4776,C,33,0,5,2
Spo_0A,4776,D,34,0,5,2
Spo_0A,4824,A,34,0,5,2
Spo_0A,4824,B,21,0,5,2
Spo_0A,4824,C,34,0,5,2
Spo_0A,4824,D,28,0,5,2
Spo_0A,4872,A,18,0,5,2
Spo_0A,4872,B,19,0,5,2
Spo_0A,4872,C,28,0,5,2
Spo_0A,4872,D,17,0,5,2
Spo_0A,4920,A,30,0,5,2
Spo_0A,4920,B,24,0,5,2
Spo_0A,4920,C,25,0,5,2
Spo_0A,4920,D,21,0,5,2
Spo_0A,4968,A,22,0,5,2
Spo_0A,4968,B,25,0,5,2
Spo_0A,4968,C,17,0,5,2
Spo_0A,4968,D,14,0,5,2
Spo_0A,5016,A,16,0,5,2
Spo_0A,5016,B,20,0,5,2
Spo_0A,5016,C,11,0,5,2
Spo_0A,5016,D,14,0,5,2
Spo_0A,5064,A,74,0,4,2
